,게임,캐릭터,업데이트,번역,스토리,과금,가챠,플레이,플레이어,이벤트,디펜스,피로도,스테이지,생각,말,문제,운영,정도,시간,재미,자원,전략,접속,필요,서버,오류,시작,클리어,모바일,사람,무과금,머리,부족,최고,자동,난이도,지능,광고,진행,처음,계정,돈,추천,단점,출시,시스템,콘텐츠,뉴비,리뷰,마음,육성,확률,부분,설치,평점,자체,해결,화면,등급,요소,일러스트,유도,삭제,장점,이상,보상,오역,콜라보레이션,공략,운,다운로드,감사,추가,초반,한정,매력,만족,느낌,한국,배치,기능,레벨,코스튬,밸런스,수집,사용,부탁,하루,반복,개인,전투,개선,실행,복귀,답변,소리,기대,취향,노가다,음악
처음,99.0,35.0,10.0,12.0,18.0,16.0,17.0,19.0,24.0,18.0,22.0,5.0,13.0,24.0,19.0,6.0,9.0,15.0,15.0,10.0,13.0,9.0,8.0,8.0,6.0,6.0,21.0,4.0,15.0,10.0,7.0,11.0,9.0,6.0,10.0,11.0,10.0,7.0,11.0,0.0,2.0,7.0,13.0,7.0,11.0,7.0,7.0,8.0,4.0,12.0,4.0,7.0,6.0,8.0,5.0,5.0,3.0,8.0,8.0,6.0,4.0,3.0,3.0,3.0,6.0,2.0,3.0,2.0,5.0,10.0,6.0,6.0,8.0,10.0,3.0,4.0,4.0,7.0,5.0,7.0,5.0,4.0,4.0,2.0,5.0,1.0,3.0,2.0,9.0,4.0,6.0,1.0,3.0,4.0,3.0,0.0,6.0,2.0,7.0,3.0
계정,21.0,3.0,6.0,3.0,1.0,5.0,4.0,5.0,13.0,1.0,1.0,1.0,1.0,6.0,7.0,8.0,1.0,6.0,2.0,3.0,0.0,0.0,21.0,3.0,5.0,2.0,5.0,0.0,6.0,3.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,2.0,5.0,1.0,4.0,5.0,7.0,1.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0
돈,70.0,13.0,12.0,27.0,13.0,24.0,15.0,10.0,21.0,13.0,6.0,4.0,8.0,10.0,15.0,10.0,15.0,15.0,11.0,6.0,8.0,5.0,3.0,9.0,9.0,10.0,7.0,2.0,9.0,9.0,9.0,7.0,7.0,4.0,3.0,5.0,7.0,5.0,5.0,7.0,3.0,0.0,5.0,7.0,3.0,3.0,8.0,8.0,6.0,4.0,5.0,4.0,5.0,1.0,5.0,5.0,2.0,0.0,2.0,6.0,4.0,5.0,2.0,5.0,5.0,8.0,2.0,11.0,3.0,9.0,0.0,0.0,2.0,3.0,4.0,1.0,3.0,7.0,8.0,2.0,1.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,5.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,3.0,2.0,2.0
추천,97.0,30.0,12.0,11.0,25.0,27.0,17.0,21.0,13.0,16.0,33.0,6.0,19.0,19.0,18.0,5.0,7.0,17.0,8.0,11.0,10.0,24.0,3.0,8.0,5.0,4.0,10.0,14.0,15.0,16.0,12.0,12.0,8.0,1.0,4.0,12.0,10.0,5.0,5.0,13.0,0.0,5.0,0.0,6.0,8.0,4.0,3.0,11.0,1.0,4.0,7.0,6.0,8.0,2.0,0.0,7.0,0.0,2.0,4.0,11.0,8.0,5.0,0.0,6.0,4.0,4.0,1.0,0.0,14.0,4.0,3.0,4.0,5.0,8.0,6.0,7.0,4.0,8.0,1.0,4.0,2.0,3.0,2.0,3.0,12.0,3.0,3.0,6.0,2.0,6.0,1.0,3.0,1.0,1.0,2.0,0.0,3.0,6.0,1.0,5.0
단점,87.0,42.0,9.0,5.0,46.0,30.0,25.0,25.0,22.0,17.0,17.0,28.0,33.0,23.0,16.0,12.0,10.0,27.0,16.0,13.0,25.0,15.0,4.0,14.0,8.0,1.0,8.0,18.0,11.0,12.0,17.0,17.0,30.0,6.0,16.0,22.0,15.0,2.0,17.0,7.0,0.0,7.0,6.0,0.0,6.0,14.0,9.0,11.0,8.0,10.0,13.0,9.0,10.0,3.0,4.0,13.0,0.0,2.0,14.0,11.0,9.0,7.0,0.0,44.0,10.0,8.0,2.0,1.0,14.0,4.0,0.0,1.0,5.0,9.0,9.0,4.0,5.0,8.0,7.0,6.0,3.0,8.0,10.0,8.0,6.0,9.0,0.0,10.0,6.0,7.0,4.0,4.0,0.0,3.0,1.0,0.0,1.0,3.0,7.0,5.0
출시,71.0,25.0,14.0,15.0,17.0,30.0,26.0,24.0,31.0,21.0,16.0,5.0,13.0,23.0,14.0,13.0,11.0,20.0,6.0,10.0,9.0,10.0,11.0,8.0,15.0,6.0,19.0,10.0,14.0,17.0,12.0,8.0,4.0,3.0,6.0,11.0,3.0,4.0,9.0,11.0,2.0,3.0,8.0,6.0,0.0,12.0,7.0,9.0,11.0,8.0,5.0,7.0,7.0,4.0,4.0,4.0,3.0,2.0,15.0,8.0,7.0,6.0,2.0,8.0,9.0,5.0,2.0,2.0,5.0,4.0,1.0,3.0,4.0,4.0,6.0,8.0,5.0,8.0,6.0,6.0,3.0,2.0,6.0,6.0,6.0,5.0,2.0,4.0,3.0,1.0,3.0,5.0,2.0,4.0,2.0,2.0,5.0,5.0,2.0,4.0
시스템,66.0,36.0,8.0,9.0,25.0,31.0,33.0,26.0,20.0,15.0,15.0,14.0,28.0,20.0,14.0,16.0,12.0,15.0,13.0,5.0,20.0,8.0,4.0,21.0,3.0,2.0,14.0,17.0,8.0,10.0,12.0,10.0,12.0,5.0,19.0,12.0,5.0,1.0,9.0,7.0,1.0,3.0,4.0,14.0,12.0,0.0,12.0,12.0,10.0,6.0,16.0,7.0,9.0,1.0,3.0,7.0,2.0,1.0,11.0,11.0,5.0,9.0,4.0,9.0,9.0,5.0,0.0,1.0,5.0,3.0,2.0,4.0,10.0,10.0,6.0,8.0,4.0,8.0,0.0,7.0,4.0,10.0,7.0,5.0,7.0,5.0,5.0,2.0,6.0,7.0,10.0,3.0,1.0,3.0,0.0,1.0,5.0,2.0,8.0,0.0
콘텐츠,64.0,27.0,9.0,12.0,21.0,19.0,18.0,20.0,25.0,22.0,13.0,17.0,27.0,23.0,20.0,16.0,6.0,21.0,12.0,7.0,19.0,9.0,3.0,14.0,6.0,6.0,15.0,14.0,8.0,8.0,6.0,2.0,13.0,5.0,16.0,10.0,7.0,4.0,11.0,7.0,0.0,8.0,3.0,9.0,7.0,12.0,0.0,9.0,7.0,5.0,12.0,7.0,5.0,2.0,1.0,6.0,3.0,4.0,6.0,7.0,4.0,3.0,2.0,6.0,6.0,13.0,3.0,4.0,4.0,5.0,0.0,1.0,11.0,8.0,5.0,6.0,7.0,12.0,5.0,3.0,4.0,7.0,2.0,1.0,3.0,6.0,5.0,4.0,8.0,7.0,6.0,7.0,3.0,2.0,3.0,3.0,3.0,1.0,9.0,3.0
뉴비,61.0,25.0,6.0,9.0,26.0,24.0,33.0,15.0,24.0,22.0,16.0,7.0,19.0,21.0,17.0,9.0,9.0,26.0,9.0,11.0,17.0,5.0,3.0,8.0,7.0,1.0,21.0,10.0,5.0,9.0,12.0,8.0,9.0,3.0,7.0,20.0,14.0,3.0,8.0,8.0,4.0,8.0,11.0,11.0,9.0,12.0,9.0,0.0,3.0,3.0,6.0,8.0,7.0,0.0,2.0,6.0,2.0,3.0,6.0,4.0,5.0,6.0,0.0,6.0,6.0,5.0,1.0,3.0,9.0,8.0,2.0,3.0,7.0,12.0,11.0,5.0,3.0,9.0,2.0,7.0,2.0,6.0,2.0,2.0,7.0,2.0,2.0,3.0,2.0,6.0,5.0,3.0,0.0,8.0,1.0,1.0,3.0,5.0,6.0,7.0
리뷰,60.0,18.0,17.0,10.0,10.0,17.0,14.0,18.0,22.0,5.0,7.0,5.0,9.0,15.0,21.0,11.0,11.0,13.0,10.0,2.0,5.0,6.0,7.0,3.0,4.0,3.0,14.0,6.0,10.0,12.0,8.0,6.0,5.0,3.0,4.0,6.0,4.0,8.0,5.0,4.0,3.0,6.0,1.0,8.0,11.0,10.0,7.0,3.0,0.0,7.0,5.0,3.0,6.0,7.0,6.0,7.0,8.0,4.0,5.0,2.0,4.0,5.0,16.0,3.0,2.0,2.0,2.0,1.0,4.0,5.0,2.0,6.0,4.0,1.0,1.0,3.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,6.0,3.0,4.0,2.0,1.0,1.0,0.0,4.0,1.0,10.0,3.0,6.0,2.0,2.0,1.0
