,게임,스토리,번역,캐릭터,과금,업데이트,플레이,생각,문제,정도,재미,가챠,이벤트,오역,시간,운영,시작,로딩,오류,확률,사람,돈,진행,최고,부족,처음,재화,전투,자체,접속,디펜스,필요,스타,모바일,다운로드,부분,붕괴,시스템,난이도,단점,스테이지,수정,개선,이성,추천,기대,해결,광고,계정,추가,화면,수준,이해,느낌,초반,이상,출시,지금,보상,전략,이번,오픈,삭제,리뷰,레벨,버스,감사,매력,이후,요소,그래픽,유도,장점,메인,제가,설치,버전,스킵,육성,최적화,만족,로그인,회사,디자인,머리,부탁,마음,이건,자동,지능,별점,불편,복귀,하루,조작,사용,이랑,신경,몰입,한국
진행,279.0,194.0,53.0,107.0,77.0,41.0,57.0,68.0,56.0,72.0,28.0,40.0,67.0,20.0,47.0,23.0,37.0,22.0,28.0,33.0,25.0,27.0,0.0,8.0,34.0,30.0,41.0,33.0,22.0,17.0,18.0,29.0,16.0,19.0,7.0,33.0,14.0,30.0,30.0,33.0,34.0,12.0,23.0,9.0,13.0,19.0,24.0,5.0,9.0,19.0,16.0,23.0,25.0,21.0,27.0,28.0,21.0,22.0,22.0,19.0,19.0,20.0,17.0,10.0,30.0,3.0,9.0,22.0,24.0,22.0,17.0,26.0,21.0,29.0,7.0,6.0,14.0,17.0,12.0,5.0,16.0,8.0,13.0,14.0,17.0,9.0,12.0,13.0,12.0,7.0,5.0,14.0,13.0,8.0,17.0,18.0,8.0,13.0,19.0,10.0
최고,204.0,47.0,12.0,46.0,32.0,9.0,27.0,25.0,18.0,16.0,10.0,14.0,19.0,3.0,15.0,9.0,13.0,1.0,5.0,8.0,7.0,6.0,8.0,0.0,12.0,11.0,7.0,9.0,7.0,1.0,24.0,11.0,9.0,25.0,3.0,4.0,7.0,9.0,8.0,11.0,8.0,2.0,4.0,3.0,4.0,5.0,2.0,2.0,1.0,9.0,3.0,6.0,5.0,4.0,7.0,12.0,3.0,14.0,4.0,18.0,4.0,7.0,1.0,4.0,8.0,8.0,13.0,9.0,2.0,9.0,5.0,10.0,13.0,6.0,7.0,1.0,4.0,1.0,7.0,2.0,4.0,2.0,4.0,8.0,6.0,5.0,5.0,2.0,5.0,6.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,6.0,4.0
부족,253.0,156.0,64.0,104.0,62.0,25.0,49.0,63.0,56.0,69.0,31.0,35.0,50.0,27.0,41.0,19.0,18.0,6.0,4.0,17.0,21.0,20.0,34.0,12.0,0.0,18.0,55.0,20.0,28.0,4.0,20.0,39.0,9.0,19.0,8.0,29.0,10.0,28.0,24.0,40.0,27.0,9.0,26.0,68.0,17.0,12.0,12.0,8.0,2.0,23.0,7.0,24.0,28.0,34.0,22.0,26.0,17.0,15.0,22.0,27.0,16.0,16.0,4.0,13.0,18.0,9.0,14.0,13.0,13.0,19.0,22.0,14.0,27.0,29.0,11.0,5.0,19.0,3.0,30.0,15.0,19.0,1.0,9.0,21.0,18.0,5.0,14.0,8.0,9.0,18.0,10.0,9.0,5.0,15.0,8.0,14.0,9.0,9.0,10.0,9.0
처음,275.0,102.0,35.0,86.0,47.0,24.0,45.0,61.0,21.0,52.0,26.0,32.0,37.0,14.0,30.0,20.0,67.0,16.0,18.0,18.0,25.0,24.0,30.0,11.0,18.0,0.0,19.0,25.0,11.0,16.0,23.0,15.0,17.0,21.0,15.0,14.0,17.0,14.0,21.0,15.0,15.0,12.0,9.0,5.0,25.0,20.0,7.0,13.0,7.0,15.0,16.0,10.0,12.0,20.0,20.0,13.0,26.0,27.0,10.0,12.0,12.0,18.0,10.0,14.0,16.0,4.0,14.0,16.0,19.0,11.0,10.0,11.0,9.0,6.0,21.0,13.0,3.0,13.0,9.0,7.0,13.0,10.0,10.0,7.0,12.0,9.0,15.0,7.0,13.0,10.0,9.0,15.0,11.0,7.0,9.0,2.0,4.0,10.0,12.0,8.0
재화,221.0,115.0,20.0,112.0,85.0,24.0,50.0,62.0,42.0,69.0,19.0,83.0,61.0,10.0,42.0,22.0,36.0,13.0,7.0,47.0,26.0,26.0,41.0,7.0,55.0,19.0,0.0,32.0,25.0,9.0,11.0,40.0,7.0,9.0,4.0,22.0,19.0,31.0,39.0,35.0,27.0,14.0,14.0,16.0,15.0,10.0,10.0,8.0,7.0,15.0,3.0,15.0,11.0,26.0,21.0,22.0,17.0,16.0,20.0,15.0,15.0,15.0,5.0,13.0,25.0,6.0,10.0,18.0,11.0,24.0,10.0,19.0,24.0,17.0,12.0,0.0,12.0,5.0,44.0,4.0,15.0,1.0,11.0,15.0,18.0,1.0,13.0,9.0,19.0,10.0,6.0,9.0,9.0,6.0,8.0,13.0,7.0,13.0,10.0,4.0
전투,184.0,125.0,18.0,118.0,37.0,24.0,42.0,44.0,28.0,41.0,37.0,33.0,26.0,5.0,40.0,6.0,27.0,26.0,5.0,19.0,32.0,15.0,33.0,9.0,20.0,25.0,32.0,0.0,13.0,5.0,8.0,18.0,14.0,16.0,3.0,27.0,24.0,46.0,16.0,30.0,17.0,8.0,16.0,5.0,15.0,15.0,5.0,8.0,2.0,15.0,27.0,13.0,11.0,27.0,26.0,16.0,15.0,5.0,13.0,17.0,9.0,19.0,11.0,7.0,22.0,12.0,6.0,25.0,8.0,21.0,23.0,6.0,26.0,20.0,6.0,7.0,10.0,21.0,15.0,14.0,14.0,5.0,9.0,13.0,6.0,8.0,9.0,9.0,55.0,3.0,2.0,20.0,3.0,7.0,12.0,10.0,11.0,4.0,10.0,1.0
자체,329.0,123.0,70.0,92.0,49.0,29.0,55.0,61.0,63.0,63.0,38.0,34.0,35.0,38.0,31.0,36.0,17.0,16.0,20.0,19.0,28.0,29.0,22.0,7.0,28.0,11.0,25.0,13.0,0.0,18.0,19.0,25.0,9.0,15.0,11.0,31.0,9.0,24.0,19.0,23.0,10.0,10.0,14.0,11.0,18.0,13.0,18.0,5.0,10.0,8.0,11.0,24.0,32.0,16.0,14.0,18.0,15.0,15.0,11.0,9.0,9.0,13.0,14.0,15.0,14.0,18.0,8.0,10.0,12.0,15.0,13.0,7.0,15.0,15.0,14.0,2.0,8.0,4.0,9.0,9.0,12.0,11.0,11.0,15.0,11.0,11.0,9.0,11.0,5.0,9.0,8.0,12.0,5.0,11.0,8.0,13.0,13.0,15.0,17.0,10.0
접속,158.0,21.0,2.0,16.0,16.0,68.0,45.0,22.0,37.0,23.0,6.0,7.0,14.0,1.0,25.0,9.0,17.0,28.0,53.0,5.0,14.0,8.0,17.0,1.0,4.0,16.0,9.0,5.0,18.0,0.0,6.0,8.0,4.0,14.0,21.0,12.0,2.0,14.0,7.0,6.0,5.0,8.0,8.0,5.0,4.0,4.0,35.0,7.0,19.0,9.0,26.0,3.0,2.0,7.0,7.0,22.0,10.0,8.0,12.0,6.0,13.0,12.0,22.0,10.0,6.0,0.0,5.0,5.0,29.0,7.0,0.0,5.0,6.0,6.0,8.0,21.0,4.0,5.0,4.0,5.0,1.0,27.0,3.0,2.0,2.0,13.0,6.0,4.0,3.0,2.0,1.0,4.0,8.0,17.0,3.0,8.0,3.0,5.0,1.0,4.0
디펜스,286.0,52.0,13.0,78.0,55.0,12.0,48.0,54.0,14.0,32.0,42.0,14.0,23.0,0.0,27.0,18.0,22.0,2.0,3.0,11.0,26.0,8.0,18.0,24.0,20.0,23.0,11.0,8.0,19.0,6.0,0.0,28.0,4.0,20.0,3.0,19.0,2.0,15.0,23.0,19.0,22.0,4.0,2.0,18.0,33.0,5.0,2.0,5.0,2.0,8.0,5.0,9.0,5.0,15.0,9.0,12.0,6.0,12.0,4.0,48.0,1.0,14.0,1.0,8.0,10.0,0.0,8.0,18.0,11.0,22.0,6.0,15.0,12.0,3.0,16.0,2.0,0.0,6.0,24.0,2.0,10.0,2.0,1.0,11.0,24.0,5.0,7.0,9.0,10.0,22.0,4.0,6.0,0.0,5.0,2.0,4.0,3.0,5.0,5.0,6.0
필요,216.0,78.0,27.0,93.0,65.0,37.0,49.0,44.0,37.0,50.0,26.0,35.0,31.0,14.0,43.0,23.0,22.0,9.0,8.0,20.0,20.0,15.0,29.0,11.0,39.0,15.0,40.0,18.0,25.0,8.0,28.0,0.0,8.0,11.0,7.0,15.0,10.0,35.0,26.0,18.0,25.0,12.0,26.0,23.0,17.0,8.0,15.0,4.0,5.0,18.0,5.0,14.0,12.0,18.0,18.0,29.0,13.0,13.0,17.0,22.0,11.0,13.0,7.0,8.0,20.0,6.0,8.0,11.0,10.0,12.0,7.0,12.0,15.0,15.0,11.0,3.0,5.0,9.0,20.0,8.0,7.0,2.0,3.0,8.0,14.0,5.0,15.0,8.0,18.0,12.0,7.0,9.0,2.0,10.0,15.0,14.0,8.0,12.0,4.0,4.0
