,게임,플레이,시간,생각,스토리,보스,난이도,사람,추천,느낌,무기,재미,아이템,진행,요소,퍼즐,공격,도전,캐릭터,스테이지,그래픽,업데이트,처음,전투,친구,시작,회차,한글,모드,단점,조작,발언,추가,필요,구매,사용,플레이어,부족,시스템,문제,전작,레벨,존재,퀘스트,과제,이상,소울,초반,멀티,가격,분위기,주인공,파밍,액션,선택,개인,공포,패턴,마을,중간,장점,평가,사실,기본,방식,기대,타워,탐험,번역,불편,수준,시리즈,반복,생존,마지막,장비,작품,이동,몰입,세일,마법,공략,배경,메트로,설정,마음,체력,Roguelike,다음,노가다,상황,개발자,디자인,나무,장르,점프,설명,이해,상태,할인
문제,197.0,131.0,110.0,114.0,89.0,60.0,74.0,81.0,76.0,70.0,50.0,53.0,62.0,73.0,65.0,26.0,57.0,36.0,57.0,45.0,76.0,57.0,61.0,43.0,18.0,51.0,21.0,42.0,35.0,62.0,43.0,4.0,45.0,56.0,37.0,45.0,41.0,44.0,48.0,0.0,14.0,46.0,46.0,26.0,26.0,40.0,21.0,48.0,25.0,38.0,35.0,35.0,27.0,33.0,39.0,45.0,12.0,34.0,32.0,23.0,48.0,51.0,49.0,51.0,42.0,34.0,6.0,21.0,36.0,36.0,41.0,19.0,23.0,20.0,31.0,28.0,27.0,31.0,24.0,14.0,14.0,27.0,29.0,9.0,33.0,34.0,23.0,10.0,25.0,23.0,39.0,23.0,34.0,14.0,30.0,23.0,28.0,30.0,36.0,18.0
전작,116.0,81.0,58.0,53.0,72.0,41.0,61.0,38.0,41.0,54.0,17.0,34.0,21.0,35.0,40.0,27.0,25.0,24.0,26.0,13.0,51.0,18.0,22.0,24.0,5.0,12.0,17.0,11.0,14.0,34.0,25.0,0.0,24.0,22.0,17.0,17.0,20.0,12.0,25.0,14.0,0.0,19.0,21.0,5.0,14.0,18.0,12.0,8.0,10.0,28.0,25.0,18.0,7.0,28.0,16.0,25.0,11.0,15.0,4.0,8.0,25.0,19.0,22.0,20.0,16.0,22.0,6.0,17.0,12.0,10.0,24.0,28.0,10.0,2.0,19.0,5.0,28.0,10.0,17.0,12.0,8.0,6.0,17.0,21.0,12.0,17.0,12.0,5.0,16.0,5.0,14.0,10.0,14.0,2.0,11.0,6.0,11.0,19.0,8.0,7.0
레벨,174.0,107.0,98.0,85.0,72.0,78.0,83.0,53.0,74.0,64.0,59.0,61.0,65.0,62.0,56.0,28.0,43.0,46.0,59.0,45.0,44.0,27.0,57.0,39.0,8.0,55.0,26.0,19.0,26.0,51.0,33.0,0.0,43.0,52.0,31.0,45.0,28.0,43.0,41.0,46.0,19.0,0.0,45.0,21.0,24.0,37.0,27.0,40.0,16.0,26.0,29.0,19.0,35.0,35.0,33.0,35.0,6.0,30.0,14.0,21.0,38.0,37.0,38.0,39.0,40.0,33.0,6.0,25.0,18.0,38.0,29.0,18.0,31.0,15.0,25.0,34.0,12.0,23.0,22.0,12.0,18.0,21.0,12.0,21.0,19.0,18.0,30.0,13.0,28.0,22.0,27.0,27.0,63.0,14.0,29.0,19.0,25.0,19.0,24.0,12.0
존재,170.0,108.0,95.0,93.0,69.0,63.0,71.0,69.0,61.0,69.0,45.0,47.0,64.0,62.0,68.0,34.0,49.0,43.0,49.0,50.0,56.0,34.0,53.0,39.0,13.0,51.0,22.0,27.0,26.0,60.0,38.0,1.0,44.0,51.0,27.0,47.0,51.0,44.0,44.0,46.0,21.0,45.0,0.0,28.0,27.0,46.0,28.0,35.0,22.0,28.0,35.0,38.0,19.0,31.0,37.0,29.0,8.0,28.0,24.0,19.0,43.0,33.0,47.0,46.0,35.0,25.0,10.0,25.0,21.0,36.0,35.0,17.0,23.0,18.0,28.0,19.0,22.0,26.0,25.0,10.0,18.0,31.0,26.0,8.0,26.0,24.0,27.0,8.0,27.0,12.0,33.0,27.0,25.0,10.0,37.0,24.0,27.0,27.0,21.0,7.0
퀘스트,139.0,76.0,86.0,76.0,58.0,31.0,47.0,50.0,51.0,56.0,43.0,41.0,34.0,47.0,57.0,9.0,34.0,21.0,27.0,24.0,24.0,27.0,33.0,43.0,15.0,32.0,12.0,22.0,14.0,40.0,20.0,1.0,36.0,44.0,25.0,24.0,24.0,29.0,27.0,26.0,5.0,21.0,28.0,0.0,18.0,23.0,9.0,42.0,21.0,27.0,15.0,18.0,33.0,16.0,19.0,27.0,7.0,11.0,27.0,13.0,21.0,22.0,29.0,28.0,20.0,18.0,1.0,19.0,19.0,29.0,18.0,5.0,16.0,18.0,20.0,31.0,5.0,23.0,17.0,9.0,7.0,15.0,15.0,4.0,14.0,23.0,16.0,2.0,21.0,21.0,18.0,15.0,8.0,13.0,19.0,14.0,14.0,18.0,15.0,16.0
과제,163.0,89.0,101.0,76.0,66.0,46.0,65.0,45.0,63.0,37.0,19.0,34.0,32.0,49.0,41.0,40.0,27.0,199.0,32.0,34.0,36.0,20.0,37.0,28.0,11.0,37.0,35.0,18.0,22.0,33.0,34.0,0.0,37.0,35.0,36.0,25.0,19.0,14.0,20.0,26.0,14.0,24.0,27.0,18.0,0.0,21.0,12.0,23.0,14.0,24.0,22.0,19.0,14.0,14.0,16.0,27.0,8.0,19.0,6.0,15.0,26.0,28.0,20.0,18.0,22.0,13.0,6.0,11.0,12.0,20.0,14.0,14.0,20.0,5.0,32.0,11.0,13.0,17.0,17.0,12.0,4.0,17.0,19.0,15.0,15.0,21.0,12.0,6.0,15.0,18.0,18.0,17.0,13.0,8.0,12.0,14.0,16.0,17.0,12.0,17.0
이상,194.0,127.0,118.0,98.0,73.0,55.0,71.0,78.0,89.0,59.0,42.0,56.0,46.0,64.0,61.0,25.0,43.0,29.0,38.0,33.0,63.0,32.0,66.0,30.0,31.0,51.0,29.0,27.0,32.0,45.0,27.0,3.0,56.0,55.0,35.0,42.0,28.0,43.0,44.0,40.0,18.0,37.0,46.0,23.0,21.0,0.0,15.0,33.0,25.0,38.0,29.0,23.0,24.0,26.0,32.0,35.0,11.0,28.0,17.0,25.0,23.0,45.0,39.0,28.0,28.0,31.0,5.0,22.0,22.0,28.0,39.0,13.0,32.0,19.0,25.0,29.0,15.0,32.0,23.0,26.0,14.0,21.0,26.0,10.0,24.0,22.0,19.0,13.0,27.0,27.0,29.0,25.0,19.0,14.0,26.0,23.0,21.0,27.0,32.0,17.0
소울,120.0,72.0,51.0,67.0,56.0,84.0,66.0,34.0,59.0,52.0,37.0,49.0,31.0,39.0,39.0,14.0,39.0,28.0,26.0,26.0,30.0,16.0,34.0,36.0,6.0,19.0,33.0,15.0,12.0,43.0,16.0,0.0,26.0,23.0,21.0,27.0,27.0,17.0,41.0,21.0,12.0,27.0,28.0,9.0,12.0,15.0,0.0,26.0,8.0,15.0,27.0,19.0,8.0,37.0,17.0,23.0,3.0,44.0,7.0,9.0,34.0,23.0,15.0,33.0,18.0,17.0,0.0,23.0,6.0,20.0,15.0,16.0,13.0,3.0,16.0,14.0,11.0,15.0,9.0,9.0,13.0,21.0,12.0,33.0,12.0,20.0,22.0,8.0,10.0,1.0,12.0,14.0,18.0,3.0,26.0,19.0,20.0,18.0,13.0,8.0
초반,197.0,116.0,106.0,112.0,73.0,61.0,75.0,60.0,75.0,71.0,62.0,63.0,53.0,68.0,59.0,18.0,49.0,31.0,44.0,43.0,45.0,43.0,67.0,42.0,18.0,54.0,19.0,25.0,28.0,52.0,32.0,0.0,46.0,63.0,38.0,46.0,25.0,48.0,41.0,48.0,8.0,40.0,35.0,42.0,23.0,33.0,26.0,0.0,18.0,24.0,29.0,35.0,36.0,23.0,36.0,38.0,12.0,33.0,27.0,30.0,41.0,44.0,36.0,41.0,27.0,29.0,6.0,22.0,20.0,32.0,26.0,16.0,37.0,24.0,28.0,33.0,12.0,37.0,29.0,14.0,17.0,29.0,20.0,19.0,23.0,28.0,23.0,7.0,39.0,21.0,29.0,23.0,19.0,16.0,33.0,24.0,31.0,31.0,33.0,17.0
멀티,138.0,90.0,59.0,52.0,41.0,30.0,50.0,52.0,53.0,27.0,23.0,36.0,29.0,44.0,29.0,14.0,20.0,17.0,31.0,15.0,37.0,38.0,34.0,24.0,39.0,24.0,11.0,22.0,20.0,32.0,13.0,0.0,38.0,27.0,22.0,27.0,15.0,22.0,24.0,25.0,10.0,16.0,22.0,21.0,14.0,25.0,8.0,18.0,0.0,24.0,15.0,12.0,18.0,15.0,11.0,19.0,10.0,14.0,8.0,17.0,20.0,21.0,14.0,14.0,18.0,13.0,2.0,14.0,10.0,16.0,18.0,6.0,14.0,16.0,12.0,20.0,7.0,14.0,9.0,17.0,11.0,9.0,6.0,1.0,19.0,10.0,9.0,10.0,12.0,9.0,10.0,13.0,12.0,3.0,14.0,9.0,14.0,13.0,13.0,10.0
가격,219.0,123.0,126.0,101.0,85.0,52.0,91.0,61.0,104.0,75.0,40.0,56.0,43.0,59.0,58.0,40.0,34.0,37.0,45.0,25.0,71.0,35.0,51.0,34.0,25.0,37.0,17.0,39.0,24.0,49.0,38.0,0.0,40.0,53.0,48.0,30.0,25.0,40.0,34.0,38.0,28.0,26.0,28.0,27.0,24.0,38.0,15.0,24.0,24.0,0.0,34.0,22.0,24.0,27.0,27.0,36.0,14.0,19.0,14.0,17.0,45.0,31.0,29.0,30.0,30.0,28.0,2.0,15.0,21.0,30.0,33.0,22.0,25.0,13.0,18.0,22.0,25.0,9.0,21.0,43.0,9.0,12.0,15.0,14.0,16.0,19.0,15.0,14.0,21.0,22.0,16.0,22.0,14.0,7.0,28.0,18.0,15.0,30.0,13.0,41.0
분위기,197.0,122.0,99.0,95.0,102.0,52.0,95.0,69.0,91.0,70.0,36.0,43.0,38.0,64.0,66.0,63.0,33.0,38.0,54.0,36.0,78.0,20.0,47.0,34.0,13.0,36.0,22.0,17.0,24.0,54.0,61.0,1.0,34.0,40.0,29.0,38.0,41.0,23.0,34.0,35.0,25.0,29.0,35.0,15.0,22.0,29.0,27.0,29.0,15.0,34.0,0.0,39.0,12.0,30.0,21.0,35.0,36.0,22.0,15.0,25.0,46.0,26.0,23.0,35.0,44.0,23.0,3.0,26.0,15.0,37.0,34.0,14.0,21.0,8.0,26.0,12.0,25.0,23.0,34.0,14.0,5.0,17.0,39.0,21.0,23.0,36.0,18.0,5.0,16.0,6.0,33.0,17.0,32.0,9.0,30.0,21.0,24.0,22.0,14.0,16.0
주인공,166.0,107.0,89.0,91.0,99.0,54.0,64.0,62.0,59.0,53.0,25.0,48.0,29.0,64.0,51.0,37.0,38.0,33.0,48.0,28.0,45.0,23.0,48.0,32.0,12.0,40.0,20.0,23.0,16.0,47.0,38.0,1.0,35.0,32.0,28.0,29.0,35.0,29.0,30.0,35.0,18.0,19.0,38.0,18.0,19.0,23.0,19.0,35.0,12.0,22.0,39.0,0.0,15.0,37.0,28.0,35.0,15.0,17.0,18.0,25.0,42.0,24.0,35.0,29.0,30.0,22.0,0.0,15.0,24.0,24.0,23.0,16.0,16.0,8.0,34.0,12.0,28.0,21.0,28.0,11.0,9.0,25.0,33.0,15.0,22.0,24.0,12.0,7.0,23.0,5.0,29.0,14.0,20.0,9.0,17.0,18.0,18.0,35.0,19.0,11.0
파밍,131.0,70.0,74.0,61.0,46.0,38.0,40.0,43.0,52.0,42.0,54.0,45.0,52.0,44.0,47.0,4.0,30.0,15.0,41.0,25.0,30.0,26.0,35.0,37.0,11.0,34.0,16.0,17.0,12.0,27.0,15.0,1.0,35.0,39.0,30.0,23.0,15.0,24.0,34.0,27.0,7.0,35.0,19.0,33.0,14.0,24.0,8.0,36.0,18.0,24.0,12.0,15.0,0.0,16.0,20.0,18.0,2.0,16.0,14.0,13.0,23.0,21.0,28.0,23.0,25.0,26.0,1.0,14.0,15.0,13.0,16.0,4.0,20.0,27.0,13.0,33.0,6.0,24.0,11.0,7.0,8.0,9.0,13.0,9.0,12.0,17.0,10.0,12.0,16.0,25.0,10.0,13.0,12.0,17.0,18.0,6.0,11.0,11.0,18.0,12.0
액션,160.0,100.0,75.0,80.0,84.0,69.0,79.0,41.0,67.0,58.0,36.0,57.0,33.0,49.0,54.0,39.0,41.0,31.0,48.0,34.0,48.0,21.0,35.0,51.0,11.0,32.0,26.0,26.0,19.0,40.0,37.0,1.0,29.0,36.0,25.0,39.0,31.0,27.0,33.0,33.0,28.0,35.0,31.0,16.0,14.0,26.0,37.0,23.0,15.0,27.0,30.0,37.0,16.0,0.0,22.0,39.0,5.0,35.0,10.0,31.0,29.0,24.0,27.0,37.0,34.0,25.0,0.0,27.0,17.0,21.0,22.0,19.0,19.0,5.0,20.0,21.0,24.0,20.0,21.0,8.0,11.0,19.0,22.0,22.0,17.0,16.0,25.0,16.0,23.0,6.0,31.0,15.0,33.0,3.0,26.0,14.0,29.0,29.0,15.0,10.0
선택,137.0,89.0,84.0,83.0,72.0,44.0,53.0,52.0,59.0,61.0,39.0,44.0,35.0,60.0,45.0,17.0,41.0,29.0,50.0,41.0,33.0,31.0,47.0,31.0,22.0,41.0,26.0,22.0,30.0,50.0,22.0,1.0,33.0,33.0,20.0,42.0,33.0,29.0,45.0,39.0,16.0,33.0,37.0,19.0,16.0,32.0,17.0,36.0,11.0,27.0,21.0,28.0,20.0,22.0,0.0,35.0,6.0,21.0,13.0,16.0,32.0,32.0,41.0,37.0,23.0,33.0,6.0,13.0,12.0,26.0,27.0,16.0,19.0,13.0,24.0,14.0,23.0,25.0,22.0,10.0,13.0,16.0,21.0,6.0,18.0,24.0,21.0,7.0,26.0,11.0,33.0,25.0,21.0,9.0,27.0,14.0,18.0,19.0,22.0,10.0
개인,208.0,130.0,109.0,115.0,105.0,53.0,84.0,72.0,97.0,70.0,36.0,49.0,35.0,72.0,56.0,42.0,43.0,42.0,59.0,37.0,64.0,40.0,53.0,38.0,18.0,41.0,31.0,37.0,26.0,56.0,38.0,0.0,49.0,39.0,36.0,43.0,36.0,33.0,38.0,45.0,25.0,35.0,29.0,27.0,27.0,35.0,23.0,38.0,19.0,36.0,35.0,35.0,18.0,39.0,35.0,0.0,15.0,23.0,16.0,28.0,44.0,43.0,40.0,34.0,39.0,36.0,7.0,21.0,18.0,28.0,38.0,30.0,22.0,12.0,27.0,22.0,28.0,25.0,23.0,20.0,12.0,23.0,26.0,16.0,20.0,41.0,16.0,11.0,23.0,13.0,35.0,28.0,24.0,9.0,26.0,19.0,24.0,33.0,27.0,18.0
공포,155.0,65.0,43.0,49.0,49.0,5.0,27.0,33.0,51.0,31.0,9.0,16.0,9.0,22.0,29.0,27.0,5.0,11.0,17.0,4.0,24.0,7.0,27.0,4.0,11.0,19.0,5.0,6.0,9.0,26.0,17.0,0.0,14.0,10.0,11.0,8.0,10.0,15.0,3.0,12.0,11.0,6.0,8.0,7.0,8.0,11.0,3.0,12.0,10.0,14.0,36.0,15.0,2.0,5.0,6.0,15.0,0.0,3.0,2.0,10.0,15.0,11.0,16.0,4.0,10.0,15.0,1.0,9.0,8.0,8.0,8.0,6.0,6.0,7.0,7.0,2.0,8.0,7.0,14.0,10.0,0.0,9.0,15.0,1.0,14.0,11.0,2.0,1.0,6.0,2.0,13.0,6.0,11.0,2.0,5.0,4.0,10.0,10.0,5.0,14.0
패턴,132.0,86.0,82.0,73.0,60.0,111.0,74.0,42.0,65.0,54.0,37.0,46.0,39.0,40.0,51.0,21.0,61.0,33.0,40.0,39.0,39.0,20.0,57.0,47.0,15.0,29.0,36.0,12.0,22.0,40.0,26.0,0.0,27.0,41.0,20.0,44.0,30.0,25.0,31.0,34.0,15.0,30.0,28.0,11.0,19.0,28.0,44.0,33.0,14.0,19.0,22.0,17.0,16.0,35.0,21.0,23.0,3.0,0.0,7.0,22.0,33.0,27.0,25.0,36.0,25.0,21.0,1.0,27.0,11.0,19.0,30.0,20.0,30.0,4.0,29.0,21.0,10.0,22.0,13.0,7.0,17.0,28.0,10.0,21.0,19.0,17.0,34.0,11.0,18.0,6.0,21.0,14.0,27.0,8.0,18.0,22.0,21.0,23.0,18.0,12.0
마을,97.0,52.0,52.0,62.0,31.0,31.0,31.0,44.0,40.0,40.0,26.0,31.0,28.0,24.0,28.0,9.0,21.0,9.0,20.0,24.0,24.0,25.0,23.0,24.0,11.0,38.0,8.0,14.0,12.0,25.0,15.0,1.0,32.0,30.0,17.0,20.0,21.0,22.0,23.0,32.0,4.0,14.0,24.0,27.0,6.0,17.0,7.0,27.0,8.0,14.0,15.0,18.0,14.0,10.0,13.0,16.0,2.0,7.0,0.0,10.0,16.0,14.0,21.0,21.0,8.0,16.0,1.0,16.0,13.0,15.0,19.0,3.0,11.0,12.0,16.0,20.0,10.0,19.0,8.0,4.0,10.0,11.0,13.0,4.0,10.0,15.0,10.0,3.0,18.0,13.0,16.0,11.0,10.0,13.0,9.0,12.0,11.0,10.0,17.0,4.0
중간,131.0,84.0,67.0,59.0,62.0,41.0,55.0,42.0,58.0,45.0,20.0,36.0,23.0,41.0,29.0,23.0,30.0,23.0,35.0,23.0,26.0,22.0,41.0,24.0,11.0,26.0,14.0,19.0,13.0,32.0,21.0,0.0,28.0,17.0,21.0,20.0,19.0,15.0,21.0,23.0,8.0,21.0,19.0,13.0,15.0,25.0,9.0,30.0,17.0,17.0,25.0,25.0,13.0,31.0,16.0,28.0,10.0,22.0,10.0,0.0,24.0,19.0,22.0,20.0,16.0,24.0,1.0,11.0,18.0,18.0,17.0,10.0,13.0,4.0,19.0,16.0,13.0,16.0,14.0,10.0,8.0,19.0,10.0,8.0,19.0,17.0,15.0,8.0,12.0,8.0,18.0,16.0,15.0,5.0,12.0,11.0,23.0,19.0,10.0,10.0
장점,203.0,124.0,113.0,110.0,96.0,66.0,103.0,69.0,90.0,64.0,47.0,72.0,51.0,72.0,70.0,39.0,47.0,39.0,51.0,40.0,66.0,43.0,45.0,39.0,10.0,36.0,24.0,39.0,24.0,174.0,46.0,1.0,33.0,52.0,34.0,46.0,34.0,32.0,49.0,48.0,25.0,38.0,43.0,21.0,26.0,23.0,34.0,41.0,20.0,45.0,46.0,42.0,23.0,29.0,32.0,44.0,15.0,33.0,16.0,24.0,0.0,41.0,42.0,35.0,42.0,29.0,7.0,30.0,22.0,37.0,36.0,20.0,28.0,11.0,34.0,16.0,23.0,30.0,28.0,13.0,18.0,23.0,27.0,20.0,24.0,30.0,21.0,10.0,19.0,13.0,31.0,26.0,25.0,8.0,36.0,23.0,28.0,29.0,25.0,16.0
평가,168.0,98.0,86.0,99.0,69.0,49.0,75.0,63.0,72.0,62.0,40.0,46.0,47.0,59.0,57.0,23.0,38.0,40.0,45.0,32.0,57.0,44.0,53.0,33.0,20.0,36.0,23.0,26.0,26.0,50.0,39.0,2.0,42.0,45.0,33.0,41.0,24.0,34.0,31.0,51.0,19.0,37.0,33.0,22.0,28.0,45.0,23.0,44.0,21.0,31.0,26.0,24.0,21.0,24.0,32.0,43.0,11.0,27.0,14.0,19.0,41.0,0.0,27.0,26.0,26.0,27.0,7.0,18.0,20.0,22.0,30.0,12.0,23.0,11.0,27.0,18.0,18.0,19.0,26.0,14.0,13.0,21.0,9.0,14.0,18.0,24.0,18.0,12.0,26.0,11.0,33.0,24.0,24.0,9.0,30.0,20.0,32.0,25.0,23.0,13.0
사실,195.0,112.0,110.0,102.0,79.0,57.0,60.0,67.0,87.0,71.0,40.0,53.0,46.0,53.0,61.0,23.0,45.0,30.0,54.0,41.0,51.0,32.0,57.0,35.0,14.0,47.0,20.0,21.0,14.0,60.0,33.0,2.0,35.0,46.0,23.0,35.0,40.0,33.0,45.0,49.0,22.0,38.0,47.0,29.0,20.0,39.0,15.0,36.0,14.0,29.0,23.0,35.0,28.0,27.0,41.0,40.0,16.0,25.0,21.0,22.0,42.0,27.0,0.0,38.0,25.0,26.0,8.0,21.0,22.0,28.0,38.0,25.0,25.0,20.0,34.0,18.0,18.0,30.0,26.0,14.0,15.0,20.0,29.0,9.0,23.0,28.0,26.0,13.0,30.0,16.0,26.0,22.0,24.0,12.0,24.0,19.0,21.0,32.0,26.0,16.0
기본,165.0,104.0,93.0,93.0,69.0,71.0,86.0,64.0,65.0,67.0,48.0,59.0,49.0,48.0,57.0,25.0,59.0,26.0,54.0,47.0,55.0,42.0,51.0,37.0,11.0,51.0,15.0,32.0,27.0,49.0,31.0,0.0,48.0,51.0,32.0,49.0,41.0,38.0,44.0,51.0,20.0,39.0,46.0,28.0,18.0,28.0,33.0,41.0,14.0,30.0,35.0,29.0,23.0,37.0,37.0,34.0,4.0,36.0,21.0,20.0,35.0,26.0,38.0,0.0,33.0,29.0,5.0,17.0,22.0,33.0,29.0,18.0,32.0,10.0,28.0,20.0,19.0,26.0,16.0,11.0,20.0,18.0,22.0,20.0,26.0,27.0,33.0,15.0,28.0,13.0,31.0,19.0,22.0,11.0,27.0,21.0,29.0,25.0,28.0,12.0
방식,158.0,112.0,73.0,96.0,75.0,53.0,75.0,57.0,80.0,50.0,39.0,56.0,49.0,71.0,54.0,34.0,44.0,41.0,55.0,40.0,47.0,27.0,51.0,43.0,16.0,42.0,19.0,25.0,18.0,44.0,47.0,0.0,28.0,41.0,31.0,38.0,44.0,29.0,32.0,42.0,16.0,40.0,35.0,20.0,22.0,28.0,18.0,27.0,18.0,30.0,44.0,30.0,25.0,34.0,23.0,39.0,10.0,25.0,8.0,16.0,42.0,26.0,25.0,33.0,0.0,17.0,6.0,22.0,20.0,25.0,31.0,15.0,31.0,19.0,26.0,18.0,17.0,23.0,24.0,10.0,9.0,20.0,28.0,13.0,15.0,23.0,16.0,11.0,18.0,11.0,30.0,17.0,26.0,11.0,24.0,15.0,26.0,16.0,20.0,16.0
기대,197.0,114.0,94.0,100.0,71.0,47.0,61.0,61.0,73.0,64.0,38.0,49.0,35.0,43.0,44.0,24.0,33.0,21.0,38.0,23.0,51.0,57.0,46.0,33.0,17.0,39.0,12.0,24.0,19.0,39.0,25.0,1.0,41.0,40.0,35.0,29.0,21.0,33.0,39.0,34.0,22.0,33.0,25.0,18.0,13.0,31.0,17.0,29.0,13.0,28.0,23.0,22.0,26.0,25.0,33.0,36.0,15.0,21.0,16.0,24.0,29.0,27.0,26.0,29.0,17.0,0.0,2.0,23.0,19.0,15.0,25.0,12.0,16.0,13.0,28.0,17.0,24.0,23.0,23.0,13.0,8.0,23.0,15.0,11.0,23.0,29.0,15.0,9.0,37.0,14.0,22.0,32.0,27.0,11.0,14.0,13.0,18.0,19.0,23.0,12.0
타워,58.0,16.0,14.0,17.0,8.0,7.0,23.0,6.0,16.0,12.0,1.0,20.0,3.0,7.0,9.0,1.0,6.0,10.0,1.0,14.0,21.0,6.0,6.0,5.0,2.0,5.0,1.0,4.0,6.0,15.0,7.0,0.0,8.0,9.0,5.0,11.0,2.0,6.0,6.0,6.0,6.0,6.0,10.0,1.0,6.0,5.0,0.0,6.0,2.0,2.0,3.0,0.0,1.0,0.0,6.0,7.0,1.0,1.0,1.0,1.0,7.0,7.0,8.0,5.0,6.0,2.0,0.0,2.0,1.0,3.0,6.0,21.0,4.0,1.0,7.0,0.0,11.0,3.0,2.0,2.0,6.0,5.0,7.0,0.0,0.0,3.0,1.0,0.0,4.0,4.0,2.0,2.0,2.0,0.0,7.0,2.0,4.0,2.0,3.0,3.0
탐험,131.0,66.0,59.0,59.0,43.0,51.0,41.0,42.0,54.0,52.0,37.0,56.0,34.0,39.0,52.0,25.0,28.0,19.0,25.0,28.0,33.0,17.0,35.0,49.0,10.0,18.0,13.0,13.0,8.0,34.0,19.0,0.0,19.0,28.0,19.0,20.0,22.0,18.0,26.0,21.0,17.0,25.0,25.0,19.0,11.0,22.0,23.0,22.0,14.0,15.0,26.0,15.0,14.0,27.0,13.0,21.0,9.0,27.0,16.0,11.0,30.0,18.0,21.0,17.0,22.0,23.0,2.0,0.0,10.0,21.0,15.0,10.0,13.0,20.0,10.0,21.0,11.0,23.0,15.0,7.0,9.0,16.0,17.0,22.0,11.0,20.0,15.0,7.0,11.0,13.0,15.0,13.0,18.0,10.0,20.0,14.0,14.0,15.0,10.0,7.0
번역,116.0,67.0,65.0,60.0,54.0,28.0,34.0,36.0,51.0,33.0,24.0,35.0,30.0,37.0,39.0,19.0,21.0,17.0,26.0,14.0,31.0,33.0,21.0,22.0,7.0,20.0,13.0,58.0,17.0,27.0,11.0,2.0,20.0,27.0,21.0,20.0,17.0,21.0,12.0,36.0,12.0,18.0,21.0,19.0,12.0,22.0,6.0,20.0,10.0,21.0,15.0,24.0,15.0,17.0,12.0,18.0,8.0,11.0,13.0,18.0,22.0,20.0,22.0,22.0,20.0,19.0,1.0,10.0,0.0,17.0,33.0,6.0,10.0,6.0,16.0,12.0,10.0,12.0,21.0,12.0,3.0,10.0,8.0,9.0,13.0,14.0,6.0,7.0,12.0,11.0,10.0,16.0,13.0,5.0,12.0,9.0,14.0,27.0,24.0,11.0
불편,149.0,96.0,91.0,79.0,72.0,51.0,69.0,57.0,64.0,56.0,36.0,50.0,44.0,53.0,60.0,28.0,41.0,29.0,45.0,28.0,46.0,25.0,39.0,45.0,13.0,38.0,20.0,22.0,19.0,52.0,57.0,0.0,31.0,36.0,21.0,39.0,28.0,32.0,39.0,36.0,10.0,38.0,36.0,29.0,20.0,28.0,20.0,32.0,16.0,30.0,37.0,24.0,13.0,21.0,26.0,28.0,8.0,19.0,15.0,18.0,37.0,22.0,28.0,33.0,25.0,15.0,3.0,21.0,17.0,0.0,31.0,15.0,10.0,8.0,30.0,21.0,13.0,34.0,25.0,13.0,11.0,18.0,17.0,18.0,27.0,20.0,22.0,3.0,21.0,19.0,27.0,19.0,25.0,12.0,26.0,19.0,24.0,20.0,20.0,9.0
수준,149.0,91.0,93.0,71.0,75.0,47.0,70.0,64.0,75.0,51.0,31.0,49.0,44.0,50.0,48.0,25.0,34.0,28.0,46.0,32.0,53.0,31.0,47.0,37.0,17.0,30.0,13.0,37.0,24.0,45.0,31.0,2.0,33.0,39.0,26.0,33.0,30.0,38.0,30.0,41.0,24.0,29.0,35.0,18.0,14.0,39.0,15.0,26.0,18.0,33.0,34.0,23.0,16.0,22.0,27.0,38.0,8.0,30.0,19.0,17.0,36.0,30.0,38.0,29.0,31.0,25.0,6.0,15.0,33.0,31.0,0.0,18.0,22.0,8.0,22.0,19.0,20.0,19.0,22.0,18.0,13.0,14.0,30.0,12.0,18.0,22.0,15.0,7.0,22.0,12.0,28.0,22.0,25.0,8.0,17.0,14.0,20.0,35.0,19.0,13.0
시리즈,112.0,62.0,46.0,53.0,46.0,39.0,49.0,30.0,53.0,35.0,6.0,27.0,16.0,27.0,28.0,20.0,17.0,29.0,26.0,15.0,37.0,12.0,19.0,17.0,8.0,13.0,13.0,17.0,11.0,29.0,21.0,0.0,13.0,24.0,19.0,21.0,22.0,11.0,25.0,19.0,28.0,18.0,17.0,5.0,14.0,13.0,16.0,16.0,6.0,22.0,14.0,16.0,4.0,19.0,16.0,30.0,6.0,20.0,3.0,10.0,20.0,12.0,25.0,18.0,15.0,12.0,21.0,10.0,6.0,15.0,18.0,0.0,11.0,2.0,11.0,8.0,37.0,7.0,9.0,10.0,6.0,14.0,14.0,19.0,12.0,16.0,7.0,0.0,16.0,4.0,12.0,7.0,13.0,3.0,24.0,9.0,7.0,11.0,12.0,8.0
