,게임,플레이,시간,생각,스토리,보스,난이도,사람,추천,느낌,무기,재미,아이템,진행,요소,퍼즐,공격,도전,캐릭터,스테이지,그래픽,업데이트,처음,전투,친구,시작,회차,한글,모드,단점,조작,발언,추가,필요,구매,사용,플레이어,부족,시스템,문제,전작,레벨,존재,퀘스트,과제,이상,소울,초반,멀티,가격,분위기,주인공,파밍,액션,선택,개인,공포,패턴,마을,중간,장점,평가,사실,기본,방식,기대,타워,탐험,번역,불편,수준,시리즈,반복,생존,마지막,장비,작품,이동,몰입,세일,마법,공략,배경,메트로,설정,마음,체력,Roguelike,다음,노가다,상황,개발자,디자인,나무,장르,점프,설명,이해,상태,할인
스테이지,185.0,111.0,109.0,98.0,69.0,84.0,97.0,51.0,74.0,62.0,44.0,65.0,50.0,68.0,66.0,39.0,50.0,49.0,43.0,0.0,39.0,33.0,56.0,43.0,18.0,45.0,21.0,18.0,29.0,64.0,37.0,0.0,44.0,40.0,26.0,49.0,40.0,38.0,41.0,45.0,13.0,45.0,50.0,24.0,34.0,33.0,26.0,43.0,15.0,25.0,36.0,28.0,25.0,34.0,41.0,37.0,4.0,39.0,24.0,23.0,40.0,32.0,41.0,47.0,40.0,23.0,14.0,28.0,14.0,28.0,32.0,15.0,37.0,17.0,37.0,31.0,20.0,39.0,15.0,10.0,21.0,26.0,25.0,15.0,14.0,25.0,29.0,8.0,41.0,14.0,24.0,24.0,29.0,9.0,23.0,23.0,29.0,27.0,23.0,11.0
그래픽,345.0,205.0,160.0,160.0,165.0,75.0,147.0,94.0,137.0,101.0,50.0,91.0,57.0,88.0,100.0,82.0,59.0,62.0,80.0,39.0,0.0,57.0,68.0,53.0,33.0,63.0,28.0,56.0,37.0,87.0,85.0,1.0,52.0,66.0,58.0,60.0,51.0,47.0,59.0,76.0,51.0,44.0,56.0,24.0,36.0,63.0,30.0,45.0,37.0,71.0,78.0,45.0,30.0,48.0,33.0,64.0,24.0,39.0,24.0,26.0,66.0,57.0,51.0,55.0,47.0,51.0,21.0,33.0,31.0,46.0,53.0,37.0,30.0,24.0,39.0,22.0,46.0,34.0,47.0,37.0,11.0,25.0,55.0,23.0,36.0,43.0,18.0,15.0,30.0,17.0,43.0,35.0,43.0,10.0,44.0,27.0,29.0,39.0,26.0,27.0
업데이트,251.0,130.0,113.0,104.0,63.0,47.0,68.0,73.0,83.0,69.0,44.0,62.0,54.0,51.0,50.0,12.0,42.0,31.0,43.0,33.0,57.0,0.0,55.0,28.0,24.0,54.0,13.0,88.0,44.0,56.0,21.0,2.0,68.0,55.0,53.0,45.0,20.0,48.0,45.0,57.0,18.0,27.0,34.0,27.0,20.0,32.0,16.0,43.0,38.0,35.0,20.0,23.0,26.0,21.0,31.0,40.0,7.0,20.0,25.0,22.0,43.0,44.0,32.0,42.0,27.0,57.0,6.0,17.0,33.0,25.0,31.0,12.0,15.0,19.0,30.0,31.0,17.0,26.0,13.0,16.0,13.0,22.0,18.0,6.0,25.0,31.0,16.0,21.0,32.0,18.0,25.0,35.0,19.0,16.0,22.0,16.0,22.0,22.0,25.0,18.0
처음,344.0,190.0,187.0,170.0,118.0,98.0,118.0,111.0,129.0,103.0,54.0,83.0,82.0,82.0,77.0,44.0,61.0,53.0,74.0,56.0,68.0,55.0,0.0,55.0,40.0,111.0,43.0,34.0,44.0,65.0,52.0,2.0,76.0,67.0,48.0,63.0,46.0,57.0,56.0,61.0,22.0,57.0,53.0,33.0,37.0,66.0,34.0,67.0,34.0,51.0,47.0,48.0,35.0,35.0,47.0,53.0,27.0,57.0,23.0,41.0,45.0,53.0,57.0,51.0,51.0,46.0,6.0,35.0,21.0,39.0,47.0,19.0,55.0,25.0,51.0,33.0,19.0,37.0,27.0,21.0,13.0,35.0,32.0,15.0,36.0,36.0,34.0,24.0,49.0,22.0,42.0,31.0,31.0,15.0,34.0,26.0,47.0,40.0,35.0,27.0
전투,211.0,117.0,106.0,106.0,96.0,81.0,82.0,65.0,100.0,86.0,69.0,82.0,59.0,70.0,76.0,49.0,68.0,36.0,62.0,43.0,53.0,28.0,55.0,0.0,21.0,42.0,23.0,23.0,18.0,49.0,45.0,0.0,39.0,51.0,34.0,54.0,41.0,40.0,55.0,43.0,24.0,39.0,39.0,43.0,28.0,30.0,36.0,42.0,24.0,34.0,34.0,32.0,37.0,51.0,31.0,38.0,4.0,47.0,24.0,24.0,39.0,33.0,35.0,37.0,43.0,33.0,5.0,49.0,22.0,45.0,37.0,17.0,25.0,20.0,27.0,34.0,30.0,44.0,38.0,8.0,23.0,27.0,24.0,30.0,16.0,33.0,36.0,10.0,23.0,21.0,29.0,20.0,31.0,12.0,20.0,24.0,24.0,29.0,28.0,17.0
친구,203.0,96.0,73.0,56.0,50.0,27.0,51.0,53.0,83.0,37.0,21.0,37.0,21.0,37.0,27.0,25.0,16.0,14.0,41.0,18.0,33.0,24.0,40.0,21.0,0.0,28.0,17.0,15.0,22.0,19.0,20.0,0.0,24.0,32.0,24.0,23.0,24.0,20.0,21.0,18.0,5.0,8.0,13.0,15.0,11.0,31.0,6.0,18.0,39.0,25.0,13.0,12.0,11.0,11.0,22.0,18.0,11.0,15.0,11.0,11.0,10.0,20.0,14.0,11.0,16.0,17.0,2.0,10.0,7.0,13.0,17.0,8.0,17.0,9.0,15.0,12.0,6.0,7.0,7.0,15.0,6.0,15.0,12.0,1.0,17.0,11.0,9.0,6.0,21.0,9.0,8.0,10.0,8.0,7.0,7.0,11.0,13.0,14.0,15.0,4.0
시작,275.0,145.0,132.0,137.0,85.0,70.0,90.0,103.0,92.0,86.0,55.0,73.0,62.0,81.0,66.0,41.0,54.0,51.0,61.0,45.0,63.0,54.0,111.0,42.0,28.0,0.0,33.0,33.0,31.0,51.0,53.0,1.0,53.0,67.0,40.0,48.0,41.0,51.0,43.0,51.0,12.0,55.0,51.0,32.0,37.0,51.0,19.0,54.0,24.0,37.0,36.0,40.0,34.0,32.0,41.0,41.0,19.0,29.0,38.0,26.0,36.0,36.0,47.0,51.0,42.0,39.0,5.0,18.0,20.0,38.0,30.0,13.0,31.0,29.0,41.0,27.0,17.0,31.0,27.0,17.0,17.0,31.0,28.0,19.0,40.0,31.0,25.0,19.0,42.0,25.0,45.0,37.0,27.0,26.0,32.0,25.0,36.0,34.0,38.0,23.0
회차,130.0,103.0,79.0,72.0,62.0,67.0,59.0,38.0,69.0,52.0,24.0,40.0,31.0,47.0,46.0,27.0,28.0,49.0,36.0,21.0,28.0,13.0,43.0,23.0,17.0,33.0,0.0,14.0,19.0,33.0,20.0,1.0,25.0,27.0,15.0,25.0,19.0,22.0,20.0,21.0,17.0,26.0,22.0,12.0,35.0,29.0,33.0,19.0,11.0,17.0,22.0,20.0,16.0,26.0,26.0,31.0,5.0,36.0,8.0,14.0,24.0,23.0,20.0,15.0,19.0,12.0,1.0,13.0,13.0,20.0,13.0,13.0,12.0,2.0,23.0,13.0,11.0,15.0,14.0,13.0,6.0,21.0,7.0,19.0,15.0,24.0,16.0,10.0,8.0,9.0,22.0,15.0,17.0,3.0,18.0,16.0,18.0,24.0,11.0,13.0
한글,187.0,95.0,94.0,72.0,62.0,33.0,63.0,50.0,71.0,50.0,24.0,42.0,35.0,53.0,40.0,21.0,22.0,26.0,31.0,18.0,56.0,88.0,34.0,23.0,15.0,33.0,14.0,0.0,32.0,50.0,19.0,1.0,35.0,43.0,32.0,34.0,25.0,27.0,31.0,42.0,11.0,19.0,27.0,22.0,18.0,27.0,15.0,25.0,22.0,39.0,17.0,23.0,17.0,26.0,22.0,37.0,6.0,12.0,14.0,19.0,39.0,26.0,21.0,32.0,25.0,24.0,4.0,13.0,58.0,22.0,37.0,17.0,14.0,12.0,12.0,13.0,16.0,15.0,16.0,19.0,8.0,18.0,20.0,8.0,22.0,22.0,13.0,5.0,17.0,12.0,16.0,26.0,17.0,7.0,16.0,12.0,21.0,23.0,21.0,23.0
모드,142.0,80.0,80.0,68.0,65.0,39.0,66.0,52.0,57.0,41.0,24.0,37.0,35.0,47.0,42.0,12.0,31.0,36.0,32.0,29.0,37.0,44.0,44.0,18.0,22.0,31.0,19.0,32.0,0.0,23.0,25.0,1.0,41.0,40.0,25.0,31.0,24.0,25.0,30.0,35.0,14.0,26.0,26.0,14.0,22.0,32.0,12.0,28.0,20.0,24.0,24.0,16.0,12.0,19.0,30.0,26.0,9.0,22.0,12.0,13.0,24.0,26.0,14.0,27.0,18.0,19.0,6.0,8.0,17.0,19.0,24.0,11.0,17.0,9.0,21.0,13.0,13.0,20.0,13.0,13.0,13.0,23.0,15.0,3.0,24.0,22.0,15.0,10.0,15.0,8.0,20.0,16.0,16.0,7.0,19.0,13.0,19.0,10.0,20.0,11.0
