,게임,스테이지,제작,시간,플레이,느낌,재미,스토리,생각,보스,플레이어,진행,사람,아이템,조작,기술,요소,추천,퍼즐,난이도,전투,처음,문제,공격,캐릭터,업데이트,구매,돈,마지막,시스템,시작,무기,서버,불편,개발자,그래픽,반복,환불,이상,수준,회차,기대,패턴,초반,평가,필요,짜증,저장,힘들,친구,퀘스트,사용,할인,선택,이동,소울,추가,부족,구간,공포,가격,점프,중간,Roguelike,모드,이해,이유,번역,주인공,몬스터,기본,설정,단점,장르,한글,디자인,친절,노가다,사실,액션,모션,설명,생존,존재,도전,멀티,방식,장점,아쉽,다음,파밍,레벨,월드,쓰레기,의미,상태,출시,마을,분위기,상황
점프,78.0,43.0,51.0,37.0,36.0,36.0,36.0,27.0,35.0,23.0,28.0,29.0,24.0,16.0,42.0,13.0,25.0,30.0,16.0,19.0,16.0,22.0,26.0,27.0,20.0,12.0,19.0,12.0,20.0,20.0,18.0,13.0,0.0,29.0,21.0,16.0,10.0,11.0,20.0,19.0,7.0,19.0,13.0,10.0,22.0,20.0,21.0,11.0,16.0,4.0,5.0,16.0,9.0,13.0,18.0,9.0,13.0,13.0,19.0,7.0,8.0,0.0,14.0,4.0,7.0,17.0,12.0,2.0,16.0,8.0,16.0,12.0,15.0,15.0,5.0,11.0,12.0,5.0,22.0,10.0,11.0,14.0,2.0,9.0,13.0,2.0,13.0,13.0,12.0,9.0,5.0,9.0,8.0,6.0,14.0,10.0,8.0,2.0,11.0,13.0
중간,84.0,45.0,53.0,49.0,46.0,39.0,43.0,35.0,43.0,32.0,21.0,33.0,26.0,17.0,22.0,13.0,22.0,37.0,16.0,20.0,23.0,34.0,22.0,20.0,22.0,15.0,14.0,14.0,27.0,21.0,21.0,15.0,1.0,18.0,15.0,8.0,17.0,6.0,19.0,15.0,8.0,13.0,20.0,21.0,26.0,22.0,13.0,20.0,19.0,9.0,14.0,13.0,10.0,11.0,17.0,7.0,14.0,10.0,11.0,5.0,11.0,14.0,0.0,4.0,9.0,16.0,14.0,4.0,16.0,7.0,11.0,10.0,24.0,9.0,6.0,11.0,7.0,12.0,14.0,9.0,11.0,13.0,6.0,10.0,9.0,7.0,11.0,18.0,11.0,14.0,7.0,9.0,8.0,4.0,13.0,9.0,9.0,6.0,9.0,8.0
Roguelike,82.0,36.0,36.0,31.0,36.0,41.0,55.0,11.0,32.0,26.0,25.0,10.0,16.0,32.0,20.0,13.0,27.0,19.0,1.0,27.0,9.0,18.0,13.0,19.0,20.0,12.0,12.0,9.0,9.0,10.0,15.0,18.0,0.0,6.0,8.0,5.0,20.0,7.0,11.0,7.0,3.0,14.0,18.0,10.0,8.0,13.0,7.0,0.0,14.0,3.0,0.0,8.0,2.0,10.0,6.0,6.0,8.0,13.0,2.0,0.0,5.0,4.0,4.0,0.0,3.0,5.0,8.0,2.0,1.0,10.0,13.0,7.0,11.0,22.0,2.0,7.0,4.0,12.0,12.0,9.0,4.0,1.0,2.0,10.0,4.0,2.0,4.0,12.0,9.0,7.0,12.0,13.0,0.0,7.0,8.0,7.0,5.0,1.0,1.0,6.0
모드,71.0,30.0,34.0,29.0,32.0,31.0,33.0,28.0,29.0,13.0,24.0,14.0,20.0,15.0,12.0,11.0,16.0,20.0,4.0,23.0,11.0,15.0,20.0,10.0,11.0,12.0,15.0,15.0,16.0,14.0,19.0,9.0,3.0,14.0,14.0,17.0,3.0,7.0,16.0,10.0,4.0,11.0,9.0,12.0,10.0,21.0,9.0,11.0,12.0,5.0,5.0,9.0,11.0,6.0,10.0,5.0,9.0,8.0,6.0,2.0,14.0,7.0,9.0,3.0,0.0,13.0,8.0,5.0,5.0,6.0,15.0,12.0,12.0,9.0,8.0,6.0,3.0,10.0,11.0,3.0,5.0,5.0,10.0,12.0,6.0,5.0,6.0,13.0,7.0,12.0,7.0,8.0,5.0,7.0,6.0,7.0,5.0,4.0,4.0,10.0
이해,117.0,50.0,69.0,65.0,63.0,64.0,54.0,59.0,60.0,30.0,42.0,37.0,38.0,22.0,25.0,24.0,40.0,38.0,22.0,22.0,26.0,33.0,35.0,27.0,30.0,22.0,27.0,27.0,34.0,30.0,24.0,13.0,2.0,20.0,31.0,25.0,20.0,14.0,23.0,17.0,13.0,20.0,19.0,24.0,29.0,26.0,25.0,14.0,31.0,13.0,11.0,26.0,13.0,18.0,20.0,9.0,18.0,16.0,14.0,11.0,26.0,17.0,16.0,5.0,13.0,0.0,17.0,12.0,21.0,12.0,24.0,18.0,22.0,21.0,11.0,14.0,12.0,11.0,20.0,14.0,13.0,16.0,3.0,18.0,11.0,4.0,20.0,21.0,16.0,20.0,12.0,14.0,13.0,11.0,17.0,13.0,13.0,5.0,15.0,18.0
이유,113.0,53.0,63.0,62.0,64.0,61.0,62.0,41.0,59.0,33.0,38.0,34.0,38.0,24.0,23.0,18.0,38.0,49.0,14.0,28.0,21.0,28.0,44.0,19.0,23.0,18.0,34.0,25.0,44.0,26.0,29.0,18.0,6.0,22.0,17.0,15.0,20.0,12.0,26.0,21.0,12.0,26.0,18.0,25.0,21.0,35.0,14.0,15.0,25.0,18.0,9.0,24.0,13.0,15.0,21.0,12.0,19.0,19.0,12.0,7.0,17.0,12.0,14.0,8.0,8.0,17.0,0.0,5.0,17.0,13.0,16.0,15.0,24.0,19.0,5.0,8.0,5.0,14.0,27.0,11.0,12.0,14.0,14.0,27.0,12.0,7.0,18.0,21.0,17.0,17.0,8.0,10.0,13.0,6.0,18.0,20.0,21.0,8.0,9.0,13.0
번역,51.0,12.0,19.0,25.0,23.0,18.0,23.0,25.0,22.0,11.0,21.0,14.0,11.0,14.0,12.0,10.0,13.0,13.0,2.0,8.0,12.0,9.0,18.0,4.0,14.0,11.0,12.0,10.0,16.0,9.0,12.0,6.0,4.0,11.0,8.0,11.0,5.0,5.0,6.0,18.0,4.0,13.0,4.0,10.0,5.0,10.0,2.0,2.0,8.0,1.0,8.0,9.0,11.0,4.0,3.0,2.0,7.0,11.0,1.0,2.0,13.0,2.0,4.0,2.0,5.0,12.0,5.0,0.0,4.0,2.0,9.0,9.0,9.0,8.0,27.0,4.0,7.0,9.0,10.0,5.0,7.0,11.0,3.0,4.0,5.0,3.0,4.0,8.0,7.0,1.0,5.0,6.0,3.0,1.0,8.0,11.0,4.0,7.0,5.0,6.0
주인공,85.0,39.0,51.0,42.0,49.0,49.0,32.0,48.0,41.0,19.0,33.0,42.0,38.0,19.0,28.0,18.0,31.0,33.0,21.0,20.0,22.0,27.0,33.0,17.0,27.0,9.0,25.0,18.0,34.0,19.0,25.0,9.0,1.0,21.0,17.0,20.0,19.0,11.0,22.0,22.0,13.0,31.0,15.0,15.0,14.0,21.0,9.0,11.0,14.0,7.0,10.0,17.0,14.0,14.0,20.0,5.0,10.0,16.0,12.0,11.0,11.0,16.0,16.0,1.0,5.0,21.0,17.0,4.0,0.0,3.0,11.0,15.0,23.0,20.0,3.0,14.0,8.0,8.0,25.0,9.0,15.0,15.0,10.0,21.0,9.0,2.0,18.0,20.0,19.0,18.0,10.0,8.0,12.0,5.0,14.0,14.0,10.0,5.0,15.0,19.0
몬스터,59.0,38.0,44.0,32.0,35.0,36.0,29.0,23.0,30.0,30.0,22.0,17.0,13.0,25.0,14.0,24.0,24.0,24.0,4.0,23.0,25.0,19.0,19.0,30.0,22.0,14.0,12.0,8.0,20.0,16.0,15.0,18.0,0.0,20.0,16.0,4.0,14.0,5.0,18.0,11.0,6.0,13.0,22.0,18.0,16.0,26.0,14.0,7.0,16.0,7.0,13.0,13.0,6.0,9.0,15.0,11.0,15.0,16.0,8.0,3.0,5.0,8.0,7.0,10.0,6.0,12.0,13.0,2.0,3.0,0.0,16.0,8.0,13.0,10.0,3.0,12.0,7.0,9.0,14.0,8.0,8.0,14.0,9.0,17.0,6.0,6.0,13.0,15.0,7.0,10.0,8.0,14.0,9.0,7.0,9.0,5.0,7.0,6.0,6.0,9.0
기본,106.0,47.0,58.0,53.0,47.0,63.0,51.0,33.0,52.0,30.0,42.0,29.0,34.0,28.0,33.0,26.0,42.0,35.0,11.0,25.0,23.0,19.0,35.0,29.0,28.0,20.0,22.0,17.0,25.0,30.0,28.0,29.0,5.0,27.0,23.0,20.0,15.0,11.0,21.0,18.0,6.0,18.0,22.0,24.0,24.0,23.0,20.0,7.0,25.0,8.0,14.0,20.0,13.0,21.0,20.0,15.0,20.0,21.0,9.0,4.0,16.0,16.0,11.0,13.0,15.0,24.0,16.0,9.0,11.0,16.0,0.0,27.0,23.0,17.0,9.0,14.0,13.0,13.0,20.0,12.0,14.0,17.0,8.0,14.0,12.0,8.0,16.0,23.0,17.0,20.0,16.0,17.0,13.0,10.0,17.0,21.0,8.0,5.0,9.0,19.0
